 Name,Description,Price,Food?,Drink?,Cantidad,New Property,Food Trucks,Created,Updated
Mantenimiento de invierno Bosque Verde para piscina,"Garrafa 5 L | 1,99 €/L",9.95,,,,"{'url':'d7a329ead5d3a8f376feefb40d18c71a25a930608967d8f8943d5a5c14268721.jpg','size':21211,'width':600,'height':600,'filename':'88022dfd966161406906b7d04fdcc29f.jpg'}",,2022-09-15T07:40:40.372Z,2022-09-15T07:40:40.372Z
Dosificador flotante para piscina,"Paquete 1 ud. | 4,35 €/ud",4.35,,,,"{'url':'d1446a972eeb6aeb313f33b4868f94207b7ca0b4e4210b5735f921107e7ee274.jpg','size':14012,'width':600,'height':600,'filename':'292099ac743b86034787f1b2a7fe8917.jpg'}",,2022-09-15T07:40:17.939Z,2022-09-15T07:40:17.939Z
Reductor de pH Bosque Verde para piscina,"Garrafa 5 L | 0,80 €/L",4,,,,"{'url':'be8fab40a9b6bf43ec707c81cb51f8f4a332c0a11c51aaa319c051be4ff17458.jpg','size':16470,'width':600,'height':600,'filename':'161bf13fe2566ccbeb839ba70a70cb3a.jpg'}",,2022-09-15T07:39:55.200Z,2022-09-15T07:39:55.200Z
Eliminador de turbidez líquido Bosque Verde para piscina,"Garrafa 5 L | 1,60 €/L",8,,,,"{'url':'3279784e2a87cf2781ab9a4c97d66150cb05992ac3bf97c4c33e56ea9e77c8ab.jpg','size':25940,'width':600,'height':600,'filename':'b18f0784cde495ac155b9fd7839358db.jpg'}",,2022-09-15T07:39:31.683Z,2022-09-15T07:39:31.683Z
Cloro rápido granulado para piscina,"Bote 5 kg | 6,60 €/kg",33,,,,"{'url':'58b043c29ddce30f1082d9d15fa08419b9a55f053d7a1b36e5743a3505e80621.jpg','size':33257,'width':600,'height':600,'filename':'04845cfa53add062fc925fd537ff4011.jpg'}",,2022-09-15T07:39:04.938Z,2022-09-15T07:39:04.938Z
Eliminador de turbidez en saquitos para piscina,"Caja 120 g | 16,25 €/kg",1.95,,,,"{'url':'a2d0562fba8fb30c71788fb89130fb21bbc430f982e77a717553e66a215f9d50.jpg','size':36009,'width':600,'height':600,'filename':'04b88106b3984fddf2788c0fff1fadce.jpg'}",,2022-09-15T07:38:42.208Z,2022-09-15T07:38:42.208Z
Antialgas líquido Bosque Verde para piscina,"Garrafa 5 L | 1,30 €/L",6.5,,,,"{'url':'ef0a99760e9005bf67a691794ac5faee630d228029fdf8b7d3c9808274df6e13.jpg','size':25011,'width':600,'height':600,'filename':'9d7742a313df42fcc3efd403914b5dab.jpg'}",,2022-09-15T07:38:19.698Z,2022-09-15T07:38:19.698Z
Cloro rápido granulado para piscina,"Bote 500 g | 12,00 €/kg",6,,,,"{'url':'fb96e8f58595801604eeaabb28c74b25d9c7e09c6314a2f97e256ce06e864e3e.jpg','size':18138,'width':600,'height':600,'filename':'7bf6bf449afc7a8d7d5092cdd70f5374.jpg'}",,2022-09-15T07:37:57.460Z,2022-09-15T07:37:57.460Z
Limpiador fosas sépticas Bosque Verde bolsitas solubles,"Caja 12 bolsitas (300 g) | 20,834 €/kg",6.25,,,,"{'url':'a4b145b76e60b1925e938776c43fcb041edecc327f552f5b02d3fc734354cc15.jpg','size':33160,'width':600,'height':600,'filename':'cf69624dfd9889cde9a2b289f0735df5.jpg'}",,2022-09-15T07:37:34.430Z,2022-09-15T07:37:34.430Z
Limpiador de Tuberías Bosque Verde,"Botella 1 L | 3,75 €/L",3.75,,,,"{'url':'9deb7b2b615cd9cfc08f001ddc4ef3076089f42cc4f1e6f98f43bd8f3510e362.jpg','size':15712,'width':600,'height':600,'filename':'821d152215cf4f7bbf63fa92fe09b844.jpg'}",,2022-09-15T07:37:12.521Z,2022-09-15T07:37:12.521Z
Sosa cáustica Bosque Verde,"Botella 1 kg | 3,40 €/kg",3.4,,,,"{'url':'a19c11dafe4bd424c47e91a1a14a71b03e5c0d94e91b044cf2212f59c46b5bd4.jpg','size':25363,'width':600,'height':600,'filename':'2d07f18fd1827d15f5eeb40b18479181.jpg'}",,2022-09-15T07:36:49.739Z,2022-09-15T07:36:49.739Z
Amoníaco muy fuerte Bosque Verde con detergente,"Botella 750 ml | 1,60 €/L",1.2,,,,"{'url':'2cb9c60edefe99a00e9bb90f32a060de583e21aeebff38e162bb2c0a4bc1e8af.jpg','size':17875,'width':600,'height':600,'filename':'5a8232d9d13c18b24c9d8ab9baa5b5ad.jpg'}",,2022-09-15T07:36:26.593Z,2022-09-15T07:36:26.593Z
Salfumant Bosque Verde,"Garrafa 5 L | 0,60 €/L",3,,,,"{'url':'ca2e65d7c7911bfdf06d18c30e8314688c511e1c8452a11a8f4562400b6bfc69.jpg','size':16314,'width':600,'height':600,'filename':'c626f3db22c8eb57ae2844d30d36e8ce.jpg'}",,2022-09-15T07:36:03.168Z,2022-09-15T07:36:03.168Z
