 Name,Description,Price,tipo
Yogur líquido +Proteínas desnatado sabor plátano Hacendado 0% m.g 20 g proteínas,"Botella 280 g | 3,572 €/kg",1.0, Desayuno Comida_Cena
Bebida láctea natural azucarada Hacendado,"Botella 1,5 kg | 1,30 €/kg",1.95,
Yogur líquido desnatado Frutos Silvestres Hacendado 0% m.g 0% sin azúcares añadidos,"Botella 1 kg | 1,20 €/kg",1.2, Desayuno Comida_Cena
Yogur líquido desnatado Piña y Coco Hacendado 0% m.g 0% sin azúcares añadidos,"Botella 1 kg | 1,20 €/kg",1.2, Desayuno Comida_Cena
Bebida láctea de frutas del bosque Hacendado,"Botella 1,5 kg | 1,30 €/kg",1.95,
Bebida láctea de piña y coco Hacendado,"Botella 1 kg | 1,20 €/kg",1.2, Desayuno
Bebida láctea de fresa Hacendado,"Botella 1 kg | 1,20 €/kg",1.2, Desayuno
Yogur líquido desnatado de Fresa Hacendado 0% m.g 0% sin azúcares añadidos,"Botella 1 kg | 1,20 €/kg",1.2, Desayuno Comida_Cena
Bebida láctea de fresa y plátano Hacendado,Bebida láctea de fresa y plátano Hacendado,1.2, Desayuno
Yogur líquido de fresa Hacendado,"12 mini botellas x 115 g | 1,558 €/kg",2.15, Desayuno
Yogur griego sabor limón Hacendado,"6 ud. x 125 g | 2,134 €/kg",1.6, Desayuno
Yogur griego con cacao y avellanas Hacendado,"6 ud. x 125 g | 2,334 €/kg",1.75, Desayuno Entre_horas
Yogur griego ligero natural Hacendado 2% m.g,"Bote 1 kg | 2,15 €/kg",2.15, Desayuno
Yogur griego con mango Hacendado,"4 ud. x 125 g | 3,00 €/kg",1.5, Desayuno
Yogur griego con fresa Hacendado,"4 ud. x 125 g | 3,00 €/kg",1.5, Desayuno
Yogur griego natural Hacendado,"Bote 1 kg | 2,15 €/kg",2.15, Desayuno
Yogur griego sabor fresa Hacendado sin trozos,"6 ud. x 125 g | 2,134 €/kg",1.6, Desayuno
Yogur griego stracciatella Hacendado,"6 ud. x 125 g | 2,20 €/kg",1.65, Desayuno
Yogur griego natural Hacendado,"6 ud. x 125 g | 1,60 €/kg",1.2, Desayuno
Yogur griego natural azucarado Hacendado,"6 ud. x 125 g | 1,667 €/kg",1.25, Desayuno
Postre lácteo +Proteínas con limón Hacendado 0% m.g 10 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5, Desayuno Comida_Cena
Postre lácteo +Proteínas natural Hacendado 0% m.g 12 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5, Desayuno Comida_Cena
Postre lácteo +Proteínas natural Hacendado 0% m.g 10 g proteínas,"Bote 500 g | 3,00 €/kg",1.5, Desayuno Comida_Cena
Postre lácteo +Proteínas con puré mango y maracuya Hacendado 0% m.g 10 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5, Desayuno Comida_Cena
Yogur sin lactosa natural Hacendado 0% m.g 0% sin azúcares añadidos,"4 ud. x 125 g | 2,60 €/kg",1.3, Desayuno Comida_Cena
Yogur sabor limón Hacendado 0% m.g 0% sin azúcares añadidos,"4 ud. x 125 g | 1,50 €/kg",0.75, Desayuno Comida_Cena
Yogur sabor fresa Hacendado 0% m.g 0% sin azúcares añadidos,"4 ud. x 125 g | 1,50 €/kg",0.75, Desayuno Comida_Cena
Yogur sabor coco Hacendado 0% m.g 0% sin azúcares añadidos,"4 ud. x 125 g | 1,50 €/kg",0.75, Desayuno Comida_Cena
"Yogur con fruta Hacendado 0% m.g 0% sin azúcares añadidos 2 piña, 2 frutos silvestres, 2 fresa y 2 manzana","8 ud. x 125 g | 1,70 €/kg",1.7, Desayuno Comida_Cena
Postre lácteo +Proteínas con arándanos Hacendado 0% m.g 10 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5, Desayuno Comida_Cena
Yogur natural Hacendado 0% m.g 0% sin azúcares,"6 ud. x 125 g | 1,134 €/kg",0.85, Desayuno Comida_Cena
