 Name,Description,Price,tipo
Bebida láctea natural Actimel Danone,"12 mini botellas x 100 g | 4,575 €/kg",5.49,[' Lacteos Bebidas']
Bebida láctea de fresa L-casei 0% m.g 0% azúcares añadidos Hacendado,"6 mini botellas x 100 g | 2,917 €/kg",1.75,[' Frutas Bebidas Proteicos']
Bebida láctea de fresa Cuidacol 0% azúcares añadidos Hacendado,"8 mini botellas x 100 g | 3,313 €/kg",2.65,[' Frutas Bebidas Proteicos']
Bebida láctea natural azucarada L-casei Hacendado,"12 mini botellas x 100 g | 1,875 €/kg",2.25,[' Bebidas']
Bebida láctea sabores L-casei 6 fresa/plátano y 6 piña/coco Hacendado,"12 mini botellas x 100 g | 1,875 €/kg",2.25,[' Bebidas']
Bebida láctea de fresa L-casei Hacendado,"12 mini botellas x 100 g | 1,875 €/kg",2.25,[' Frutas Bebidas']
Yogur líquido sabor Stracciatella Hacendado,"4 botellas x 160 g | 2,579 €/kg",1.65,[' Lacteos']
Yogur líquido +Proteínas desnatado sabor tropical Hacendado 0% m.g 20 g proteínas,"Botella 280 g | 3,572 €/kg",1.0,[' Zumos Lacteos Proteicos']
Bebida láctea +Proteínas sabor vainilla Hacendado 26 g proteínas,"Brick 330 ml | 3,485 €/L",1.15,"[' Bebidas Proteicos Poco', 'habituales']"
Bebida láctea +Proteínas sabor chocolate Hacendado 26 g proteínas,"Brick 330 ml | 3,485 €/L",1.15,[' Bebidas Postres Proteicos Dulce Caprichos']
Yogur líquido +Proteínas desnatado sabor fresa Hacendado 0% m.g 20 g proteínas,"Botella 280 g | 3,572 €/kg",1.0,[' Frutas Lacteos Proteicos']
Yogur líquido +Proteínas desnatado sabor plátano Hacendado 0% m.g 20 g proteínas,"Botella 280 g | 3,572 €/kg",1.0,[' Frutas Lacteos Proteicos']
Bebida láctea natural azucarada Hacendado,"Botella 1,5 kg | 1,30 €/kg",1.95,[' Bebidas']
Yogur líquido desnatado Frutos Silvestres Hacendado 0% m.g 0% sin azúcares añadidos,"Botella 1 kg | 1,20 €/kg",1.2,[' Lacteos Proteicos']
Yogur líquido desnatado Piña y Coco Hacendado 0% m.g 0% sin azúcares añadidos,"Botella 1 kg | 1,20 €/kg",1.2,[' Frutas Lacteos Proteicos']
Bebida láctea de frutas del bosque Hacendado,"Botella 1,5 kg | 1,30 €/kg",1.95,[' Zumos Bebidas']
Bebida láctea de piña y coco Hacendado,"Botella 1 kg | 1,20 €/kg",1.2,[' Frutas Bebidas']
Bebida láctea de fresa Hacendado,"Botella 1 kg | 1,20 €/kg",1.2,[' Frutas Bebidas']
Yogur líquido desnatado de Fresa Hacendado 0% m.g 0% sin azúcares añadidos,"Botella 1 kg | 1,20 €/kg",1.2,[' Frutas Lacteos Proteicos']
Bebida láctea de fresa y plátano Hacendado,Bebida láctea de fresa y plátano Hacendado,1.2,[' Frutas Bebidas']
Yogur líquido de fresa Hacendado,"12 mini botellas x 115 g | 1,558 €/kg",2.15,[' Frutas Lacteos']
Yogur griego sabor limón Hacendado,"6 ud. x 125 g | 2,134 €/kg",1.6,[' Frutas Lacteos']
Yogur griego con cacao y avellanas Hacendado,"6 ud. x 125 g | 2,334 €/kg",1.75,[' Lacteos Dulce']
Yogur griego ligero natural Hacendado 2% m.g,"Bote 1 kg | 2,15 €/kg",2.15,[' Lacteos']
Yogur griego con mango Hacendado,"4 ud. x 125 g | 3,00 €/kg",1.5,[' Zumos Frutas Lacteos']
Yogur griego con fresa Hacendado,"4 ud. x 125 g | 3,00 €/kg",1.5,[' Frutas Lacteos']
Yogur griego natural Hacendado,"Bote 1 kg | 2,15 €/kg",2.15,[' Lacteos']
Yogur griego sabor fresa Hacendado sin trozos,"6 ud. x 125 g | 2,134 €/kg",1.6,[' Frutas Lacteos']
Yogur griego stracciatella Hacendado,"6 ud. x 125 g | 2,20 €/kg",1.65,[' Lacteos']
Yogur griego natural Hacendado,"6 ud. x 125 g | 1,60 €/kg",1.2,[' Lacteos']
Yogur griego natural azucarado Hacendado,"6 ud. x 125 g | 1,667 €/kg",1.25,[' Lacteos']
Postre lácteo +Proteínas con limón Hacendado 0% m.g 10 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5,[' Frutas Lacteos Postres Proteicos']
Postre lácteo +Proteínas natural Hacendado 0% m.g 12 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5,[' Lacteos Postres Proteicos']
Postre lácteo +Proteínas natural Hacendado 0% m.g 10 g proteínas,"Bote 500 g | 3,00 €/kg",1.5,[' Lacteos Postres Proteicos']
Postre lácteo +Proteínas con puré mango y maracuya Hacendado 0% m.g 10 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5,[' Zumos Frutas Lacteos Postres Proteicos']
Yogur sin lactosa natural Hacendado 0% m.g 0% sin azúcares añadidos,"4 ud. x 125 g | 2,60 €/kg",1.3,[' Lacteos Proteicos']
Yogur sabor limón Hacendado 0% m.g 0% sin azúcares añadidos,"4 ud. x 125 g | 1,50 €/kg",0.75,[' Frutas Lacteos Proteicos']
Yogur sabor fresa Hacendado 0% m.g 0% sin azúcares añadidos,"4 ud. x 125 g | 1,50 €/kg",0.75,[' Frutas Lacteos Proteicos']
Yogur sabor coco Hacendado 0% m.g 0% sin azúcares añadidos,"4 ud. x 125 g | 1,50 €/kg",0.75,[' Frutas Lacteos Proteicos']
"Yogur con fruta Hacendado 0% m.g 0% sin azúcares añadidos 2 piña, 2 frutos silvestres, 2 fresa y 2 manzana","8 ud. x 125 g | 1,70 €/kg",1.7,[' Frutas Lacteos Proteicos']
Postre lácteo +Proteínas con arándanos Hacendado 0% m.g 10 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5,[' Frutas Lacteos Postres Proteicos']
Yogur natural Hacendado 0% m.g 0% sin azúcares,"6 ud. x 125 g | 1,134 €/kg",0.85,[' Lacteos Proteicos']
Postre lácteo +Proteínas con fresa Hacendado 0% m.g 10 g proteínas,"4 ud. x 120 g | 3,125 €/kg",1.5,[' Frutas Lacteos Postres Proteicos']
Yogur cremoso natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos Linnea V,"6 ud. x 125 g | 1,734 €/kg",1.3,[' Lacteos Proteicos']
Yogur natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos Linnea V,"6 ud. x 125 g | 1,134 €/kg",0.85,[' Lacteos Proteicos']
Postre de soja sabor frutos rojos con dátiles Alpro sin azúcares añadidos,"Bote 400 g | 4,975 €/kg",1.99,"[' Postres Proteicos frutos', 'secos']"
Postre de soja Alpro Skyr Style sabor fresa high protein,"Bote 400 g | 4,975 €/kg",1.99,[' Frutas Postres']
Postre de coco natural Alpro,"Bote 350 g | 5,686 €/kg",1.99,[' Frutas Postres']
Postre de soja Hacendado natural,"4 ud. x 100 g | 2,75 €/kg",1.1,[' Postres']
Postre de soja sabor mango Alpro sin azúcares añadidos,"Bote 400 g | 4,975 €/kg",1.99,[' Zumos Frutas Postres Proteicos']
Postre de soja natural Alpro con coco,"Bote 500 g | 3,98 €/kg",1.99,[' Frutas Postres']
Postre de soja Hacendado sabor vainilla,"4 ud. x 100 g | 3,225 €/kg",1.29,"[' Postres Poco', 'habituales']"
Postre de soja Hacendado con frutos silvestres sin trozos,"4 ud. x 125 g | 2,20 €/kg",1.1,[' Postres']
Postre de soja Hacendado con piña y maracuyá,"4 ud. x 125 g | 2,20 €/kg",1.1,[' Frutas Postres']
Postre de soja Hacendado sabor chocolate,"4 ud. x 100 g | 3,225 €/kg",1.29,[' Postres Dulce Caprichos']
Yogur azucarado YogoMix Discos Hacendado con disquitos chocolateados,"2 ud. x 150 g | 3,50 €/kg",1.05,[' Lacteos']
Postre crema de turrón Hacendado,"4 ud. x 125 g | 3,60 €/kg",1.8,[' Lacteos Postres Dulce Reposteria']
Postre caramelo Hacendado,"4 ud. x 100 g | 4,875 €/kg",1.95,[' Postres Dulce']
Natillas +Proteínas sabor vainilla Hacendado 12 g proteínas,"4 ud. x 120 g | 3,334 €/kg",1.6,"[' Lacteos Proteicos Poco', 'habituales']"
"Postre lácteo +Proteínas chocolate Hacendado 1,3 g m.g 10 g proteínas","4 ud. x 120 g | 3,334 €/kg",1.6,[' Lacteos Postres Proteicos Dulce Caprichos']
Mousse +Proteínas sabor vainilla Hacendado 20 g proteínas,"Bote 200 g | 6,75 €/kg",1.35,"[' Postres Proteicos Poco', 'habituales']"
Mousse +Proteínas sabor chocolate Hacendado 20 g proteínas,"Bote 200 g | 6,75 €/kg",1.35,[' Postres Proteicos Dulce Caprichos']
Tocino de cielo Hacendado,"2 ud. x 100 g | 5,75 €/kg",1.15,[' Embutidos']
Arroz con leche Hacendado,"Tarrina 450 g | 2,778 €/kg",1.25,"[' Zumos Lacteos Proteicos Habituales Para', 'tener Desayunos']"
Cuajada Danone,"2 ud. x 135 g | 5,149 €/kg",1.39,[' Lacteos']
Crema catalana Hacendado,"4 ud. x 100 g | 5,125 €/kg",2.05,[' Lacteos']
Coulant de chocolate Hacendado,"2 ud. (180 g) | 10,556 €/kg",1.9,[' Postres Dulce Caprichos']
Copa de avellana Hacendado,"2 ud. x 175 g | 3,143 €/kg",1.1,"[' Dulce frutos', 'secos']"
Tarta de queso Hacendado,"Tarrina 180 g | 8,889 €/kg",1.6,[' Lacteos Postres Dulce Reposteria Caprichos']
Cheesecake con arándanos Hacendado,"2 ud. x 95 g | 7,895 €/kg",1.5,[' Frutas Dulce']
Cuajada Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05,[' Lacteos']
Panna Cotta con caramelo Hacendado,"4 ud. x 100 g | 3,00 €/kg",1.2,[' Postres Dulce']
Yogur azucarado YogoMix Bolitas Hacendado con bolitas chocolateadas,"2 ud. x 150 g | 3,50 €/kg",1.05,[' Lacteos']
"Yogur azucarado YogoMix Hacendado variado de copos maíz, bolitas y disquitos chocolateados","6 ud. x 150 g | 3,445 €/kg",3.1,[' Lacteos']
Tiramisú Hacendado,"2 ud. x 90 g | 6,945 €/kg",1.25,[' Postres']
Mousse de chocolate Hacendado,"4 ud. x 62,5 g | 3,20 €/kg",0.8,[' Postres Dulce Caprichos']
Arroz con leche Hacendado,"4 ud. x 130 g | 2,308 €/kg",1.2,"[' Zumos Lacteos Proteicos Habituales Para', 'tener Desayunos']"
"Gelatina 0% azúcar sabores fresa, multifrutas y limón Hacendado Gellytina","6 ud. x 100 g | 1,584 €/kg",0.95,[' Frutas Postres Proteicos Caprichos']
Gelatina +Proteínas sabor a frutos silvestres Hacendado 0% m.g 6 g proteínas,"4 ud. x 100 g | 2,75 €/kg",1.1,[' Postres Proteicos']
"Gelatina sabores limón, multifrutas y naranja Hacendado Gellytina","6 ud. x 100 g | 1,334 €/kg",0.8,[' Zumos Frutas Postres']
Gelatina 0% azúcar sabor fresa Hacendado Gellytina,"6 ud. x 100 g | 1,584 €/kg",0.95,[' Frutas Postres Proteicos Caprichos']
Gelatina sabor fresa Hacendado Gellytina,"6 ud. x 100 g | 1,334 €/kg",0.8,[' Frutas Postres']
Natillas de chocolate Danet Danone,"4 ud. x 120 g | 4,771 €/kg",2.29,[' Lacteos Postres Dulce Caprichos']
Natillas de vainilla Danet Danone,"4 ud. x 120 g | 4,771 €/kg",2.29,"[' Lacteos Poco', 'habituales']"
Natillas de chocolate con leche Hacendado,"4 ud. x 125 g | 1,60 €/kg",0.8,[' Zumos Lacteos Postres Dulce Desayunos Caprichos']
Natillas sabor vainilla con galleta Hacendado,"4 ud. x 125 g | 2,00 €/kg",1.0,"[' Lacteos Postres Dulce Poco', 'habituales']"
Natillas sabor vainilla Hacendado,"4 ud. x 125 g | 1,60 €/kg",0.8,"[' Lacteos Poco', 'habituales']"
Flan de huevo sin azúcares añadidos Hacendado,"4 ud. x 100 g | 3,25 €/kg",1.3,[' Huevos Postres Proteicos']
Flan de queso Hacendado al baño María,"4 ud. x 100 g | 4,25 €/kg",1.7,[' Lacteos Postres']
Flan de café Hacendado,"4 ud. x 100 g | 3,75 €/kg",1.5,[' Bebidas Postres']
Flan de huevo Hacendado,"4 ud. x 100 g | 2,75 €/kg",1.1,[' Huevos Postres']
Flan de huevo Hacendado al baño María,"9 ud. x 100 g | 2,723 €/kg",2.45,[' Huevos Postres']
Flan de vainilla con caramelo Hacendado,"6 ud. x 100 g | 1,25 €/kg",0.75,"[' Postres Dulce Poco', 'habituales']"
"Bífidus natural probiótico Hacendado con coco, almendras y chocolate","Tarrina 180 g | 5,834 €/kg",1.05,"[' Lacteos Postres Dulce frutos', 'secos Caprichos']"
Bífidus natural probiótico azucarado Hacendado con cereales y fresas deshidratadas,"Tarrina 170 g | 5,00 €/kg",0.85,[' Cereales Frutas Lacteos Desayunos']
Bífidus desnatado natural Activia 0% m.g. Danone,"8 ud. x 120 g | 3,74 €/kg",3.59,[' Lacteos Proteicos']
Bífidus cremoso desnatado natural Hacendado 0% m.g 0% sin azúcares añadidos,"6 ud. x 125 g | 1,867 €/kg",1.4,[' Lacteos Proteicos']
Bífidus natural Hacendado,"6 ud. x 125 g | 1,467 €/kg",1.1,[' Lacteos']
Bífidus desnatado natural edulcorado Activia 0% m.g. Danone,"8 ud. x 120 g | 3,74 €/kg",3.59,[' Lacteos Proteicos']
Bífidus cremoso desnatado natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,"6 ud. x 125 g | 1,867 €/kg",1.4,[' Lacteos Proteicos']
Bífidus desnatado natural Hacendado 0% m.g 0% sin azúcares añadidos,"6 ud. x 125 g | 1,467 €/kg",1.1,[' Lacteos Proteicos']
Bífidus cremoso probiótico con coco Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05,[' Frutas Lacteos']
Bífidus probiótico con ciruelas pasas Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05,"[' Frutas Lacteos frutos', 'secos']"
Bífidus probiótico con mango Hacendado,"4 ud. x 125 g | 2,10 €/kg",1.05,[' Zumos Frutas Lacteos']
